,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,Date
2211,Hunter Henry,NE,TE,W 15-10,8.3,0,0,0,0,0,0,2,17,0,5,0,0,0,3.7,0,0,NYJ,Away,9/26/2023
2212,Chigoziem Okonkwo,Ten,TE,L 3-27,7.4,0,0,0,0,0,0,3,7,0,4,0,0,0,3.7,0,0,Cle,Away,9/26/2023
2213,Hunter Renfrow,LV,WR,L 18-23,3.5,0,0,0,0,0,0,2,17,0,2,0,0,0,3.7,0,0,Pit,Home,9/26/2023
2214,Ameer Abdullah,LV,RB,L 18-23,3.8,0,0,0,0,0,0,2,16,0,3,0,0,0,3.6,0,0,Pit,Home,9/26/2023
2215,Khalil Herbert,Chi,RB,L 10-41,10.4,0,0,0,7,31,0,2,4,0,2,0,1,0,3.5,0,0,KC,Away,9/26/2023
2216,Antonio Gibson,Wsh,RB,L 3-37,6.3,0,0,0,2,17,0,3,7,0,5,0,1,0,3.4,0,0,Buf,Home,9/26/2023
2217,AJ Dillon,GB,RB,W 18-17,14,0,0,0,11,33,0,0,0,0,0,0,0,0,3.3,0,0,NO,Home,9/26/2023
2218,Mack Hollins,Atl,WR,L 6-20,7.2,0,0,0,0,0,0,1,23,0,4,0,0,0,3.3,0,0,Det,Away,9/26/2023
2219,John Metchie III,Hou,WR,W 37-17,1,0,0,0,0,0,0,2,13,0,2,0,0,0,3.3,0,0,Jax,Away,9/26/2023
2220,Deonte Harty,Buf,WR,W 37-3,3.2,0,0,0,2,-2,0,2,15,0,3,0,0,0,3.3,0,0,Wsh,Away,9/26/2023
2221,Juwan Johnson,NO,TE,L 17-18,7,0,0,0,0,0,0,2,12,0,4,0,0,0,3.2,0,0,GB,Away,9/26/2023
2222,Brandon Johnson,Den,WR,L 20-70,3.8,0,0,0,0,0,0,2,12,0,3,0,0,0,3.2,0,0,Mia,Away,9/26/2023
2223,D'Ernest Johnson,Jax,RB,L 17-37,2,0,0,0,3,6,0,2,6,0,2,0,0,0,3.2,0,0,Hou,Home,9/26/2023
2224,John Bates,Wsh,TE,L 3-37,6.1,0,0,0,0,0,0,2,12,0,2,0,0,0,3.2,0,0,Buf,Home,9/26/2023
2225,Taysom Hill,NO,TE,L 17-18,7.5,0,0,0,4,12,0,1,9,0,1,0,0,0,3.1,0,0,GB,Away,9/26/2023
2226,Keaontay Ingram,Ari,RB,W 28-16,2.4,0,0,0,5,13,0,1,8,0,1,0,0,0,3.1,0,0,Dal,Home,9/26/2023
2227,Kenyan Drake,Bal,RB,L 19-22,2,0,0,0,1,0,0,2,31,0,3,0,1,0,3.1,0,0,Ind,Home,9/26/2023
2228,Trey Sermon,Ind,RB,W 22-19,2,0,0,0,5,17,0,1,4,0,2,0,0,0,3.1,0,0,Bal,Away,9/26/2023
